concept,anime,value
mainEntityOfPage,100-pascal-sensei-tv,"https://myanimelist.net/anime/34052"
mainEntityOfPage,100-pascal-sensei-tv,"http://www.crunchyroll.com/100-teacher-pascal"
name,100-pascal-sensei-tv,"100% Pascal-sensei (TV)"
name,100-pascal-sensei-tv,"100% Pascal-sensei (TV)"
name,100-pascal-sensei-tv,"100% Teacher Pascal"
name,100-pascal-sensei-tv,"100%\u30D1\u30B9\u30AB\u30EB\u5148\u751F (TV)"
startDate,100-pascal-sensei-tv,"2017-04-15"
trailer,100-pascal-sensei-tv,"<https://betweenourworlds.org/trailer/100-pascal-sensei-tv> ."
22-rdf-syntax-ns#type,100-pascal-sensei-tv,"<http://dbpedia.org/ontology/Anime> ."
22-rdf-syntax-ns#type,100-pascal-sensei-tv,"<http://dbpedia.org/ontology/Cartoon> ."
22-rdf-syntax-ns#type,100-pascal-sensei-tv,"<http://dbpedia.org/ontology/Work> ."
22-rdf-syntax-ns#type,100-pascal-sensei-tv,"<http://schema.org/CreativeWork> ."
22-rdf-syntax-ns#type,100-pascal-sensei-tv,"<http://schema.org/Thing> ."
22-rdf-syntax-ns#type,100-pascal-sensei-tv,"<http://schema.org/TVSeries> ."
rdf-schema#comment,100-pascal-sensei-tv,"The story centers around an elementary school teacher who is so stupid that he cannot even write his own name. He does whatever he likes in his classroom. Plus, by all appearances, he is not human.\r \r (Source: ANN)"
rdf-schema#label,100-pascal-sensei-tv,"100% Pascal-sensei (TV)"
rdf-schema#label,100-pascal-sensei-tv,"100% Pascal-sensei (TV)"
rdf-schema#label,100-pascal-sensei-tv,"100% Teacher Pascal"
rdf-schema#label,100-pascal-sensei-tv,"100%\u30D1\u30B9\u30AB\u30EB\u5148\u751F (TV)"
title,18-if,"18if"
title,18-if,"18if"
contentRating,18-if,"R"
contentRating,18-if,"Violence, Profanity"
description,18-if,"After going to sleep like normal, Tsukishiro Haruto wakes up to discover something unbelievable\u2014he's stuck in dream world! Here, witches plague the dreamscape and are more than dreamy figments\u2014they're the trapped souls of young women who've rejected reality and are afflicted by the \'Sleeping Beauty Syndrome.\'\r \r As he searches for a way out, Haruto will face the witches and their terrifying powers.\r \r (Source: Crunchyroll)"
mainEntityOfPage,18-if,"https://kitsu.io/anime/18-if"
mainEntityOfPage,18-if,"https://myanimelist.net/anime/35248"
mainEntityOfPage,18-if,"http://www.crunchyroll.com/18if"
name,18-if,"18if"
name,18-if,"18if"
startDate,18-if,"2017-07-07"
trailer,18-if,"<https://betweenourworlds.org/trailer/18-if> ."
22-rdf-syntax-ns#type,18-if,"<http://dbpedia.org/ontology/Anime> ."
22-rdf-syntax-ns#type,18-if,"<http://dbpedia.org/ontology/Cartoon> ."
22-rdf-syntax-ns#type,18-if,"<http://dbpedia.org/ontology/Work> ."
22-rdf-syntax-ns#type,18-if,"<http://schema.org/CreativeWork> ."
22-rdf-syntax-ns#type,18-if,"<http://schema.org/Thing> ."
22-rdf-syntax-ns#type,18-if,"<http://schema.org/TVSeries> ."
rdf-schema#comment,18-if,"After going to sleep like normal, Tsukishiro Haruto wakes up to discover something unbelievable\u2014he's stuck in dream world! Here, witches plague the dreamscape and are more than dreamy figments\u2014they're the trapped souls of young women who've rejected reality and are afflicted by the \'Sleeping Beauty Syndrome.\'\r \r As he searches for a way out, Haruto will face the witches and their terrifying powers.\r \r (Source: Crunchyroll)"
rdf-schema#label,18-if,"18if"
rdf-schema#label,18-if,"18if"
numberOfEpisodes,1-ri-botchi-no-ookami-to-7-hiki-no-ko-yagi,"1"
title,1-ri-botchi-no-ookami-to-7-hiki-no-ko-yagi,"1-ri Botchi no Ookami to 7-hiki no Ko Yagi"
title,1-ri-botchi-no-ookami-to-7-hiki-no-ko-yagi,"1-ri Botchi no Ookami to 7-hiki no Ko Yagi"
title,1-ri-botchi-no-ookami-to-7-hiki-no-ko-yagi,"\uFF11\u4EBA\u307C\u3063\u3061\u306E\u72FC\u3068\uFF17\u3072\u304D\u306E\u5B50\u3084\u304E"
contentRating,1-ri-botchi-no-ookami-to-7-hiki-no-ko-yagi,"All Ages"
contentRating,1-ri-botchi-no-ookami-to-7-hiki-no-ko-yagi,"G"
description,1-ri-botchi-no-ookami-to-7-hiki-no-ko-yagi,"An adaptation of the The Wolf and The Seven Little Goats story."
endDate,1-ri-botchi-no-ookami-to-7-hiki-no-ko-yagi,"1994-01-15"
mainEntityOfPage,1-ri-botchi-no-ookami-to-7-hiki-no-ko-yagi,"https://kitsu.io/anime/1-ri-botchi-no-ookami-to-7-hiki-no-ko-yagi"
mainEntityOfPage,1-ri-botchi-no-ookami-to-7-hiki-no-ko-yagi,"https://myanimelist.net/anime/34190"
name,1-ri-botchi-no-ookami-to-7-hiki-no-ko-yagi,"1-ri Botchi no Ookami to 7-hiki no Ko Yagi"
name,1-ri-botchi-no-ookami-to-7-hiki-no-ko-yagi,"1-ri Botchi no Ookami to 7-hiki no Ko Yagi"
name,1-ri-botchi-no-ookami-to-7-hiki-no-ko-yagi,"\uFF11\u4EBA\u307C\u3063\u3061\u306E\u72FC\u3068\uFF17\u3072\u304D\u306E\u5B50\u3084\u304E"
numberOfEpisodes,1-ri-botchi-no-ookami-to-7-hiki-no-ko-yagi,"1"
startDate,1-ri-botchi-no-ookami-to-7-hiki-no-ko-yagi,"1994-01-15"
trailer,1-ri-botchi-no-ookami-to-7-hiki-no-ko-yagi,"<https://betweenourworlds.org/trailer/1-ri-botchi-no-ookami-to-7-hiki-no-ko-yagi> ."
22-rdf-syntax-ns#type,1-ri-botchi-no-ookami-to-7-hiki-no-ko-yagi,"<http://dbpedia.org/ontology/Anime> ."
22-rdf-syntax-ns#type,1-ri-botchi-no-ookami-to-7-hiki-no-ko-yagi,"<http://dbpedia.org/ontology/Cartoon> ."
22-rdf-syntax-ns#type,1-ri-botchi-no-ookami-to-7-hiki-no-ko-yagi,"<http://dbpedia.org/ontology/Work> ."
22-rdf-syntax-ns#type,1-ri-botchi-no-ookami-to-7-hiki-no-ko-yagi,"<http://schema.org/CreativeWork> ."
22-rdf-syntax-ns#type,1-ri-botchi-no-ookami-to-7-hiki-no-ko-yagi,"<http://schema.org/Thing> ."
rdf-schema#comment,1-ri-botchi-no-ookami-to-7-hiki-no-ko-yagi,"An adaptation of the The Wolf and The Seven Little Goats story."
rdf-schema#label,1-ri-botchi-no-ookami-to-7-hiki-no-ko-yagi,"1-ri Botchi no Ookami to 7-hiki no Ko Yagi"
rdf-schema#label,1-ri-botchi-no-ookami-to-7-hiki-no-ko-yagi,"1-ri Botchi no Ookami to 7-hiki no Ko Yagi"
rdf-schema#label,1-ri-botchi-no-ookami-to-7-hiki-no-ko-yagi,"\uFF11\u4EBA\u307C\u3063\u3061\u306E\u72FC\u3068\uFF17\u3072\u304D\u306E\u5B50\u3084\u304E"
numberOfEpisodes,3-gatsu-no-lion-meets-bump-of-chicken,"1"
title,3-gatsu-no-lion-meets-bump-of-chicken,"3-gatsu no Lion meets Bump of Chicken"
title,3-gatsu-no-lion-meets-bump-of-chicken,"3-gatsu no Lion meets Bump of Chicken"
title,3-gatsu-no-lion-meets-bump-of-chicken,"3\u6708\u306E\u30E9\u30A4\u30AA\u30F3 meets BUMP OF CHICKEN"
title,3-gatsu-no-lion-meets-bump-of-chicken,"March comes in like a lion meets Bump of Chicken"
contentRating,3-gatsu-no-lion-meets-bump-of-chicken,"All Ages"
contentRating,3-gatsu-no-lion-meets-bump-of-chicken,"G"
description,3-gatsu-no-lion-meets-bump-of-chicken,"A CGI music video of Sangatsu no Lion set to Bump of Chicken's \'Fighter\' single. The website states that the collaboration started because the mangaka Umino Chika is a fan of Bump of Chicken and the members of Bump of Chicken are fans of Sangatsu no Lion. A special edition of the manga's 10th compiled volume shipped on November 28 with this single.\r (Source: ANN)"
endDate,3-gatsu-no-lion-meets-bump-of-chicken,"2014-12-08"
mainEntityOfPage,3-gatsu-no-lion-meets-bump-of-chicken,"https://anidb.net/perl-bin/animedb.pl?show=anime&aid=11395"
mainEntityOfPage,3-gatsu-no-lion-meets-bump-of-chicken,"https://kitsu.io/anime/3-gatsu-no-lion-meets-bump-of-chicken"
mainEntityOfPage,3-gatsu-no-lion-meets-bump-of-chicken,"https://myanimelist.net/anime/28789"
name,3-gatsu-no-lion-meets-bump-of-chicken,"3-gatsu no Lion meets Bump of Chicken"
name,3-gatsu-no-lion-meets-bump-of-chicken,"3-gatsu no Lion meets Bump of Chicken"
name,3-gatsu-no-lion-meets-bump-of-chicken,"3\u6708\u306E\u30E9\u30A4\u30AA\u30F3 meets BUMP OF CHICKEN"
name,3-gatsu-no-lion-meets-bump-of-chicken,"March comes in like a lion meets Bump of Chicken"
numberOfEpisodes,3-gatsu-no-lion-meets-bump-of-chicken,"1"
startDate,3-gatsu-no-lion-meets-bump-of-chicken,"2014-12-08"
trailer,3-gatsu-no-lion-meets-bump-of-chicken,"<https://betweenourworlds.org/trailer/3-gatsu-no-lion-meets-bump-of-chicken> ."
22-rdf-syntax-ns#type,3-gatsu-no-lion-meets-bump-of-chicken,"<http://dbpedia.org/ontology/Anime> ."
22-rdf-syntax-ns#type,3-gatsu-no-lion-meets-bump-of-chicken,"<http://dbpedia.org/ontology/Cartoon> ."
22-rdf-syntax-ns#type,3-gatsu-no-lion-meets-bump-of-chicken,"<http://dbpedia.org/ontology/Work> ."
22-rdf-syntax-ns#type,3-gatsu-no-lion-meets-bump-of-chicken,"<http://schema.org/CreativeWork> ."
22-rdf-syntax-ns#type,3-gatsu-no-lion-meets-bump-of-chicken,"<http://schema.org/Thing> ."
rdf-schema#comment,3-gatsu-no-lion-meets-bump-of-chicken,"A CGI music video of Sangatsu no Lion set to Bump of Chicken's \'Fighter\' single. The website states that the collaboration started because the mangaka Umino Chika is a fan of Bump of Chicken and the members of Bump of Chicken are fans of Sangatsu no Lion. A special edition of the manga's 10th compiled volume shipped on November 28 with this single.\r (Source: ANN)"
rdf-schema#label,3-gatsu-no-lion-meets-bump-of-chicken,"3-gatsu no Lion meets Bump of Chicken"
rdf-schema#label,3-gatsu-no-lion-meets-bump-of-chicken,"3-gatsu no Lion meets Bump of Chicken"
rdf-schema#label,3-gatsu-no-lion-meets-bump-of-chicken,"3\u6708\u306E\u30E9\u30A4\u30AA\u30F3 meets BUMP OF CHICKEN"
rdf-schema#label,3-gatsu-no-lion-meets-bump-of-chicken,"March comes in like a lion meets Bump of Chicken"
numberOfEpisodes,3-gatsu-no-lion-recap,"1"
title,3-gatsu-no-lion-recap,"3-gatsu no Lion Recap"
title,3-gatsu-no-lion-recap,"3-gatsu no Lion Recap"
title,3-gatsu-no-lion-recap,"3\u6708\u306E\u30E9\u30A4\u30AA\u30F3\u7DCF\u96C6\u7DE8"
title,3-gatsu-no-lion-recap,"Marches Comes in Like a Lion: Special Omnibus Episode"
contentRating,3-gatsu-no-lion-recap,"PG"
contentRating,3-gatsu-no-lion-recap,"Teens 13 or older"
description,3-gatsu-no-lion-recap,"Recap of the first 11 episodes of 3-gatsu no Lion."
endDate,3-gatsu-no-lion-recap,"2016-12-29"
mainEntityOfPage,3-gatsu-no-lion-recap,"https://kitsu.io/anime/3-gatsu-no-lion-recap"
mainEntityOfPage,3-gatsu-no-lion-recap,"https://myanimelist.net/anime/34647"
name,3-gatsu-no-lion-recap,"3-gatsu no Lion Recap"
name,3-gatsu-no-lion-recap,"3-gatsu no Lion Recap"
name,3-gatsu-no-lion-recap,"3\u6708\u306E\u30E9\u30A4\u30AA\u30F3\u7DCF\u96C6\u7DE8"
name,3-gatsu-no-lion-recap,"Marches Comes in Like a Lion: Special Omnibus Episode"
numberOfEpisodes,3-gatsu-no-lion-recap,"1"
startDate,3-gatsu-no-lion-recap,"2016-12-29"
trailer,3-gatsu-no-lion-recap,"<https://betweenourworlds.org/trailer/3-gatsu-no-lion-recap> ."
22-rdf-syntax-ns#type,3-gatsu-no-lion-recap,"<http://dbpedia.org/ontology/Anime> ."
22-rdf-syntax-ns#type,3-gatsu-no-lion-recap,"<http://dbpedia.org/ontology/Cartoon> ."
22-rdf-syntax-ns#type,3-gatsu-no-lion-recap,"<http://dbpedia.org/ontology/Work> ."
22-rdf-syntax-ns#type,3-gatsu-no-lion-recap,"<http://schema.org/CreativeWork> ."
22-rdf-syntax-ns#type,3-gatsu-no-lion-recap,"<http://schema.org/Thing> ."
rdf-schema#comment,3-gatsu-no-lion-recap,"Recap of the first 11 episodes of 3-gatsu no Lion."
rdf-schema#label,3-gatsu-no-lion-recap,"3-gatsu no Lion Recap"
rdf-schema#label,3-gatsu-no-lion-recap,"3-gatsu no Lion Recap"
rdf-schema#label,3-gatsu-no-lion-recap,"3\u6708\u306E\u30E9\u30A4\u30AA\u30F3\u7DCF\u96C6\u7DE8"
rdf-schema#label,3-gatsu-no-lion-recap,"Marches Comes in Like a Lion: Special Omnibus Episode"
numberOfEpisodes,7-years,"1"
title,7-years,"7 Years"
title,7-years,"7 years"
title,7-years,"7 Years"
contentRating,7-years,"All Ages"
contentRating,7-years,"G"
description,7-years,"Japanese animated music video for Lukas Graham's \'7 Years.\'\r \r Illustlation by : Yukihiro Tada\r Japanese Lyrics by : Futoshi (Aqua Timez)\r Animation by : pH studio inc\r Producer : Hojin\u3000Ishii \uFF08NIBAN-KOBO PRODUCTIONS CORP)\r Production Manager : Fumiko Umeyama \uFF08NIBAN-KOBO PRODUCTIONS CORP)\r Story&directed by : Yu Tsubaki\r Art direction by : Ai Ishimatsu"
endDate,7-years,"2016-05-09"
mainEntityOfPage,7-years,"https://kitsu.io/anime/7-years"
name,7-years,"7 Years"
name,7-years,"7 years"
name,7-years,"7 Years"
numberOfEpisodes,7-years,"1"
startDate,7-years,"2016-05-09"
trailer,7-years,"<https://betweenourworlds.org/trailer/7-years> ."
22-rdf-syntax-ns#type,7-years,"<http://dbpedia.org/ontology/Anime> ."
22-rdf-syntax-ns#type,7-years,"<http://dbpedia.org/ontology/Cartoon> ."
22-rdf-syntax-ns#type,7-years,"<http://dbpedia.org/ontology/Work> ."
22-rdf-syntax-ns#type,7-years,"<http://schema.org/CreativeWork> ."
22-rdf-syntax-ns#type,7-years,"<http://schema.org/Thing> ."
rdf-schema#comment,7-years,"Japanese animated music video for Lukas Graham's \'7 Years.\'\r \r Illustlation by : Yukihiro Tada\r Japanese Lyrics by : Futoshi (Aqua Timez)\r Animation by : pH studio inc\r Producer : Hojin\u3000Ishii \uFF08NIBAN-KOBO PRODUCTIONS CORP)\r Production Manager : Fumiko Umeyama \uFF08NIBAN-KOBO PRODUCTIONS CORP)\r Story&directed by : Yu Tsubaki\r Art direction by : Ai Ishimatsu"
rdf-schema#label,7-years,"7 Years"
rdf-schema#label,7-years,"7 years"
rdf-schema#label,7-years,"7 Years"
numberOfEpisodes,91-days-recap,"1"
title,91-days-recap,"91 Days Recap"
title,91-days-recap,"91 Days Recap"
title,91-days-recap,"91Days\u300EDay7.5 \u77ED\u3044\u30ED\u30FC\u30BD\u30AF\u300F"
contentRating,91-days-recap,"17+ (violence & profanity)"
contentRating,91-days-recap,"R"
description,91-days-recap,"Recap of the first seven episodes of 91 Days series."
endDate,91-days-recap,"2016-08-26"
mainEntityOfPage,91-days-recap,"https://kitsu.io/anime/91-days-recap"
mainEntityOfPage,91-days-recap,"https://myanimelist.net/anime/33964"
name,91-days-recap,"91 Days Recap"
name,91-days-recap,"91 Days Recap"
name,91-days-recap,"91Days\u300EDay7.5 \u77ED\u3044\u30ED\u30FC\u30BD\u30AF\u300F"
numberOfEpisodes,91-days-recap,"1"
startDate,91-days-recap,"2016-08-26"
trailer,91-days-recap,"<https://betweenourworlds.org/trailer/91-days-recap> ."
22-rdf-syntax-ns#type,91-days-recap,"<http://dbpedia.org/ontology/Anime> ."
22-rdf-syntax-ns#type,91-days-recap,"<http://dbpedia.org/ontology/Cartoon> ."
22-rdf-syntax-ns#type,91-days-recap,"<http://dbpedia.org/ontology/Work> ."
22-rdf-syntax-ns#type,91-days-recap,"<http://schema.org/CreativeWork> ."
22-rdf-syntax-ns#type,91-days-recap,"<http://schema.org/Thing> ."
rdf-schema#comment,91-days-recap,"Recap of the first seven episodes of 91 Days series."
rdf-schema#label,91-days-recap,"91 Days Recap"
rdf-schema#label,91-days-recap,"91 Days Recap"
rdf-schema#label,91-days-recap,"91Days\u300EDay7.5 \u77ED\u3044\u30ED\u30FC\u30BD\u30AF\u300F"
numberOfEpisodes,91-days-special,"1"
title,91-days-special,"91Days Day13"
title,91-days-special,"91 Days Special"
title,91-days-special,"91 Days Special"
contentRating,91-days-special,"R"
description,91-days-special,"Episode 13 of 91 Days."
endDate,91-days-special,"2017-05-21"
mainEntityOfPage,91-days-special,"https://kitsu.io/anime/91-days-special"
mainEntityOfPage,91-days-special,"https://myanimelist.net/anime/34777"
name,91-days-special,"91Days Day13"
name,91-days-special,"91 Days Special"
name,91-days-special,"91 Days Special"
numberOfEpisodes,91-days-special,"1"
startDate,91-days-special,"2017-05-21"
trailer,91-days-special,"<https://betweenourworlds.org/trailer/91-days-special> ."
22-rdf-syntax-ns#type,91-days-special,"<http://dbpedia.org/ontology/Anime> ."
22-rdf-syntax-ns#type,91-days-special,"<http://dbpedia.org/ontology/Cartoon> ."
22-rdf-syntax-ns#type,91-days-special,"<http://dbpedia.org/ontology/Work> ."
22-rdf-syntax-ns#type,91-days-special,"<http://schema.org/CreativeWork> ."
22-rdf-syntax-ns#type,91-days-special,"<http://schema.org/Thing> ."
rdf-schema#comment,91-days-special,"Episode 13 of 91 Days."
rdf-schema#label,91-days-special,"91Days Day13"
rdf-schema#label,91-days-special,"91 Days Special"
rdf-schema#label,91-days-special,"91 Days Special"
numberOfEpisodes,aaa-de-ikou-yuuna-akiko,"1"
title,aaa-de-ikou-yuuna-akiko,"AAA de Ikou!!: Yuuna & Akiko"
title,aaa-de-ikou-yuuna-akiko,"AAA de Ikou!!: Yuuna & Akiko"
contentRating,aaa-de-ikou-yuuna-akiko,"All Ages"
contentRating,aaa-de-ikou-yuuna-akiko,"G"
endDate,aaa-de-ikou-yuuna-akiko,"2007-07-24"
mainEntityOfPage,aaa-de-ikou-yuuna-akiko,"https://kitsu.io/anime/aaa-de-ikou-yuuna-akiko"
mainEntityOfPage,aaa-de-ikou-yuuna-akiko,"https://myanimelist.net/anime/29750"
name,aaa-de-ikou-yuuna-akiko,"AAA de Ikou!!: Yuuna & Akiko"
name,aaa-de-ikou-yuuna-akiko,"AAA de Ikou!!: Yuuna & Akiko"
numberOfEpisodes,aaa-de-ikou-yuuna-akiko,"1"
startDate,aaa-de-ikou-yuuna-akiko,"2007-07-24"
trailer,aaa-de-ikou-yuuna-akiko,"<https://betweenourworlds.org/trailer/aaa-de-ikou-yuuna-akiko> ."
22-rdf-syntax-ns#type,aaa-de-ikou-yuuna-akiko,"<http://dbpedia.org/ontology/Anime> ."
22-rdf-syntax-ns#type,aaa-de-ikou-yuuna-akiko,"<http://dbpedia.org/ontology/Cartoon> ."
22-rdf-syntax-ns#type,aaa-de-ikou-yuuna-akiko,"<http://dbpedia.org/ontology/Work> ."
22-rdf-syntax-ns#type,aaa-de-ikou-yuuna-akiko,"<http://schema.org/CreativeWork> ."
22-rdf-syntax-ns#type,aaa-de-ikou-yuuna-akiko,"<http://schema.org/Thing> ."
rdf-schema#label,aaa-de-ikou-yuuna-akiko,"AAA de Ikou!!: Yuuna & Akiko"
rdf-schema#label,aaa-de-ikou-yuuna-akiko,"AAA de Ikou!!: Yuuna & Akiko"
numberOfEpisodes,aachi-wa-ssipak,"1"
title,aachi-wa-ssipak,"Aachi and Ssipak"
title,aachi-wa-ssipak,"Aachi wa Ssipak"
title,aachi-wa-ssipak,"Aachi wa Ssipak"
title,aachi-wa-ssipak,"\uC544\uCE58\uC640 \uC528\uD30D"
contentRating,aachi-wa-ssipak,"Mild Nudity"
contentRating,aachi-wa-ssipak,"R"
description,aachi-wa-ssipak,"Aachi and Ssipak are two likable street hoodlums who scrape by stealing and selling \'Juicybars,\' highly addictive blue popsicles distributed by the government in exchange for human excrement, the only usable fuel in Shibal, a dystopian, futuristic, post-apocalyptic city.\r Aachi and Ssipak hook up with \'Beautiful,\' a blue-haired, wannabe-actress with a lucrative knack for making the Juicybars pile up. Aachi, the entrepreneur, exploits her special talent and Ssipak, the romantic, falls in love with her. Rich in Juicybars, the threesome go on a rock star tear-up that makes them a target. They are pursued relentlessly by both the Diaper Gang, an army of violent blue mutants led by the Diaper King, and the police.\r AACHI AND SSIPAK is a crazy, high-octane story driven by a contemporary dubstep soundtrack by Mad Decent with some of the most mind-blowing action scenes ever to be animated.\r (Source: Flatiron Film Company)"
endDate,aachi-wa-ssipak,"2006-06-28"
mainEntityOfPage,aachi-wa-ssipak,"https://anidb.net/perl-bin/animedb.pl?show=anime&aid=4904"
mainEntityOfPage,aachi-wa-ssipak,"https://kitsu.io/anime/aachi-wa-ssipak"
mainEntityOfPage,aachi-wa-ssipak,"https://myanimelist.net/anime/2884"
name,aachi-wa-ssipak,"Aachi and Ssipak"
name,aachi-wa-ssipak,"Aachi wa Ssipak"
name,aachi-wa-ssipak,"Aachi wa Ssipak"
name,aachi-wa-ssipak,"\uC544\uCE58\uC640 \uC528\uD30D"
numberOfEpisodes,aachi-wa-ssipak,"1"
startDate,aachi-wa-ssipak,"2006-06-28"
trailer,aachi-wa-ssipak,"<https://betweenourworlds.org/trailer/aachi-wa-ssipak> ."
22-rdf-syntax-ns#type,aachi-wa-ssipak,"<http://dbpedia.org/ontology/Anime> ."
22-rdf-syntax-ns#type,aachi-wa-ssipak,"<http://dbpedia.org/ontology/Cartoon> ."
22-rdf-syntax-ns#type,aachi-wa-ssipak,"<http://dbpedia.org/ontology/Work> ."
22-rdf-syntax-ns#type,aachi-wa-ssipak,"<http://schema.org/CreativeWork> ."
22-rdf-syntax-ns#type,aachi-wa-ssipak,"<http://schema.org/Movie> ."
22-rdf-syntax-ns#type,aachi-wa-ssipak,"<http://schema.org/Thing> ."
rdf-schema#comment,aachi-wa-ssipak,"Aachi and Ssipak are two likable street hoodlums who scrape by stealing and selling \'Juicybars,\' highly addictive blue popsicles distributed by the government in exchange for human excrement, the only usable fuel in Shibal, a dystopian, futuristic, post-apocalyptic city.\r Aachi and Ssipak hook up with \'Beautiful,\' a blue-haired, wannabe-actress with a lucrative knack for making the Juicybars pile up. Aachi, the entrepreneur, exploits her special talent and Ssipak, the romantic, falls in love with her. Rich in Juicybars, the threesome go on a rock star tear-up that makes them a target. They are pursued relentlessly by both the Diaper Gang, an army of violent blue mutants led by the Diaper King, and the police.\r AACHI AND SSIPAK is a crazy, high-octane story driven by a contemporary dubstep soundtrack by Mad Decent with some of the most mind-blowing action scenes ever to be animated.\r (Source: Flatiron Film Company)"
rdf-schema#label,aachi-wa-ssipak,"Aachi and Ssipak"
rdf-schema#label,aachi-wa-ssipak,"Aachi wa Ssipak"
rdf-schema#label,aachi-wa-ssipak,"Aachi wa Ssipak"
rdf-schema#label,aachi-wa-ssipak,"\uC544\uCE58\uC640 \uC528\uD30D"
